recipe_original,final_food_name,TotalTimeInMins,Cuisine,TranslatedInstructions,TranslatedIngredients,Cleaned-Ingredients,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),best_match_clean,matched_original_name,composite_score,token_set_score,wratio_score,food_token_score,negative_penalty,token_overlap
Baked Fish In Coconut Milk Recipe,Fish in coconut milk (Nariyal ke doodh ke saath machli),90,South Indian Recipes,"To begin making the Baked Fish In Coconut Milk recipe, in a mixing bowl, add lemon juice and oil and mix it with the fish fillets.
Let the fish marinade for 1 hour in refrigerator.
Pre heat the oven to 350 degree C.
In a fry pan heat 1/4 cup of oil and fry onion till golden.
Add minced garlic, ginger and green chilies and stir for 2 mins.
Now add tomatoes, spices, crushed fennel seeds and salt to taste.
Fry for 3 to 4 minutes till tomatoes are tender.
Add coconut milk and simmer for 5 minutes until thick.Take the fish out from the fridge and arrange them on a greased baking tray or a cast iron pan.
Bake the fish for 10 mins.
Pour the coconut milk sauce all over the fish.
cover the baking tray/pan tightly with aluminium foil and return to the oven to bake for another 15 minutes.
Carefully remove the pan and the foil and garnish with chopped coriander and serve hot.Serve Baked Fish In Coconut Milk along with Steamed rice for a weeknight dinner.","1 teaspoon Green Chilli - minced,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 teaspoon Cumin powder (Jeera),1 cup Coconut milk - thick (canned or fresh),Salt - to taste,2 tablespoon Lemon juice,2 Onion - finely chopped,2 teaspoon Garlic - minced,2 tablespoon Coriander Powder (Dhania),1/2 teaspoon Fennel seeds (Saunf) - coarsely ground with mortar pestle,1/2 teaspoon Red Chilli powder,1 kg Fish fillet - cut into medium,2 Tomatoes - sliced into roundels,1/4 cup Sunflower Oil,1/4 teaspoon Turmeric powder (Haldi),2 tablespoon Sunflower Oil,2 teaspoon Ginger - minced","tomato,salt,cumin powder (jeera),ginger,coconut milk,green chilli,fennel seeds (saunf) ground mortar pestle,coriander (dhania) leaves,red chilli powder,fish fillet,garlic,onion,lemon,coriander powder,turmeric powder,sunflower oil",86.21,2.73,8.66,4.43,1.55,1.52,73.93,21.94,0.91,10.71,38,fish in coconut milk,Fish in coconut milk (Nariyal ke doodh ke saath machli),114.44,100,95,2,0,0.8
Spinach Mushroom Scrambled Eggs Recipe,Spinach mushroom scrambled egg (Palak mushroom bhurji),25,Continental,"To begin with, the Spinach Mushroom Scrambled Egg first, in a small bowl whisk eggs, salt, and pepper together and keep asideIn a wide non-stick pan, add butter.
Once the butter melts, add sliced mushrooms and saute it.
Cook and stir for about 4 minutes or until tender.Add spinach to mushrooms.
Cook and stir until it is wilted.Simmer the flame and add egg mixture.
Cook until the eggs are cooked and form a layer.
Stir together.Stir in cheese if you like cheesy texture in the eggs.Your Spinach Mushroom Scrambled Eggs is ready to be served.
serve it with some toast.Serve the protein rich Spinach Mushroom Scrambled Eggs with Whole Wheat Rosemary Focaccia Bread Recipe on the side and a glass of Carrot Pineapple Orange Juice Recipe.
","1 cup Button mushrooms - thinly sliced,5 Whole Eggs,Salt - to taste,1 1/2 teaspoon Butter,1/2 teaspoon Black pepper powder - freshly ground,1 cup Spinach Leaves (Palak) - chopped","salt,black pepper powder ground,button mushrooms,eggs,spinach leaves (palak),butter",158.85,0.59,13.28,11.51,0.1,0.39,227.97,140.31,1.6,2.27,54.24,spinach mushroom scrambled egg,Spinach mushroom scrambled egg (Palak mushroom bhurji),113.18,98.36,98.36,2,0,0.75
Karnataka Style Mixed Vegetable Pulao Recipe,Mixed vegetable pulao,60,Indian,"To begin making Karnataka Style Mixed Vegetable Pulao Recipe, first get all the ingredients ready.Grind the ingredients mentioned in ""For pulao masala"" including fresh coconut, pearl onions, garlic, ginger, coriander seeds, cumin seeds, fennel seeds, coriander leaves, tomato, cinnamon stick, cloves, cardamom and green chillies to a fine paste using a mixer grinder.
You can a little warm water to make it into a smooth paste.Steam the vegetables using a steamer and keep aside.Cook Basmati rice in 3-1-/2 cups of water in a sauce pan, along with salt and bring it to a brisk boil.
Once it comes to a boil, turn the heat to low, cover the pan and cook the rice until all the water is absorbed.
Turn off the heat and allow the rice to cool and then fluff the rice up with a fork.Heat oil in a heavy bottomed pan, add the bay leaf and the ground paste.
Saute the pulao masala till it turns brown and fragrant.
Add the cooked rice, paneer, bread croutons and vegetables to this masala and mix well.Check the salt and adjust to suit your taste and serve.Serve the Karnataka Style Mixed Vegetable Pulao Recipe along with a bowl of Tomato Onion Raita for lunch or dinner or even pack it into your lunch box.","3 tablespoons Fresh coconut - grated,1 Tomato - finely chopped,100 grams Paneer (Homemade Cottage Cheese),10 Green beans (French Beans) - finely chopped,4 Pearl onions (Sambar Onions),1 cup Fried Bread Cubes (Croutons),3 Green Chillies,2 cups Basmati rice,1 cup Cauliflower (gobi) - florets,2 Cardamom (Elaichi) Pods/Seeds,2 Potatoes (Aloo) - boiled and diced,2 Bay leaves (tej patta),2 Carrots (Gajjar) - finely chopped,1/4 cup Green peas (Matar),1 Coriander (Dhania) Leaves - bunch,4 cloves Garlic,3 teaspoons Coriander (Dhania) Seeds,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),1 inch Ginger,1 teaspoon Fennel seeds (Saunf)","tomato,basmati rice,cloves garlic,carrot,coriander (dhania) seeds,cumin seeds (jeera),green chillies,coriander (dhania),cardamom (elaichi) podsseeds,green beans (french beans),coconut,cauliflower (gobi) florets,ginger,bay leaves (tej patta),paneer,bread cubes (croutons),fennel seeds (saunf),green peas (matar),pearl onion (sambar onion),cinnamon stick (dalchini),potato (aloo),cloves (laung)",113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63,mixed vegetable pulao,Mixed vegetable pulao,112.62,100,95,2,0,0.75
Mixed Beans Vegetable Pulao Recipe,Mixed vegetable pulao,45,Indian,"To begin making the Mixed Beans Vegetable Pulao recipe, pressure cook the rajma in a cooker and double beans with enough water until soft.
(Take care not to turn them mushy).
Wait till pressure settles.
Drain excess water and set it aside.In a heavy bottom cooking vessel, add oil and to it add cloves, cardamom and cinnamon stick.When the spices start to leave their aroma, add sliced onions.
Fry till translucent.
Now add ginger-garlic paste.
Fry for another minute and add boiled rajma and double beans.
Saute for a minute or two.After a minute or two, add chopped potato, carrot, green beans, green chilies, garam masala and turmeric powder.
Saute for two minutes.Add 4 cups of water to this along with salt.
Let it come to boil.
Now add rice (by draining the water, in which rice was getting soaked).
Gently stir and cook covered on low flame till rice is completely cooked.Sprinkle lemon juice and garnish with coriander leaves before serving.Serve Mixed Beans Vegetable Pulao with Lauki Raita, Beetroot Raita or any other raita of your choice and a roasted papad.","1 tablespoon Lemon juice,Salt - as required,1/4 cup Rajma (Large Kidney Beans) - washed and soaked overnight,1/8 tablespoon Turmeric powder (Haldi),1/8 cup Double Beans - washed and soaked overnight,2 Cardamom (Elaichi) Pods/Seeds,1 Onion - sliced finely,2 Green Chillies - slit,1 Cinnamon Stick (Dalchini),1/2 tablespoon Ginger Garlic Paste,1/4 tablespoon Garam masala powder,2 sprig Coriander (Dhania) Leaves,Carrot (Gajjar) - peeled and chopped,1/4 cup Potato (Aloo) - peeled and chopped,2 Cloves (Laung),Green beans (French Beans) - chopped,1 cup Rice - washed and soaked for 10 min,Sunflower Oil - as required","green chillies,green beans (french beans),salt,cardamom (elaichi) podsseeds,potato (aloo),carrot,double beans,ginger garlic paste,coriander (dhania) leaves,cinnamon stick (dalchini),onion,lemon,rajma (large kidney beans),rice min,turmeric powder,cloves (laung),garam masala powder,sunflower oil",113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63,mixed vegetable pulao,Mixed vegetable pulao,112.62,100,95,2,0,0.75
Cauliflower Paneer Kofta Curry Recipe,Cauliflower kofta curry (Phoolgobhi kofta curry),50,North Indian Recipes,"To begin making Cauliflower Paneer Kofta Curry Recipe place big pot on the heat.
Add 1 liter of water into the pot and bring it to a boil.
Add 1 teaspoon of salt to the boiling water and turn off the heat.Next, to chop up the cauliflower, first remove the stem and leafy parts of the cauliflower and immerse it into the just-boiled, hot water.
Allow the cauliflower sit for about 3 to 4 minutes.
Then remove it from hot water, and place it on a kitchen towel.
Pat it dry completely.Now grate the cauliflower completely and set it aside for a while.
After about 10 minutes, cauliflower would have released a lot of water, squeeze it out and discard the water.Next, heat a pan and dry roast the grated cauliflower until it feels completely dry and contains no more moisture.
While roasting it, take care not to cook it too much.
It should not change to brown, so it is best to roast it on a low flame.Once the cauliflower is completely dry, take it off the heat, transfer it into a cool dish and allow it to come down to room temperature.Add the grated paneer to the cooled cauliflower.
Add in the mashed potatoes, and all the spices along with corn flour.
Knead well until everything is mixed.
Make small lemon sized balls of the mix and arrange them on a plate.
Set them aside till further use.Next, we need to fry the koftas.
Warm some oil in a pan, when oil is hot enough, deep fry the koftas until evenly golden brown.
For an oil-free version, you could also bake them in a pre-heated oven, or use a kuzhi-paniyaram pan to pan-fry them.
Either way, lay the golden brown koftas onto kitchen paper once they are browned on all sides.To prepare the curry, first warm some oil or butter in a pan.
Add the shahi jeera and fry for a minute.
Next add the finely chopped onions and fry them till translucent.
Add the tomato puree and cook it together until the puree thickens and begins to leave the sides of the pan.At this stage, add all the spice powders and mix well.
Then add water as required and bring the curry to boil.Turn the heat down, add the cream, mix well and finally add the fried kofta balls.
Simmer on low heat for about 3 to 4 minutes.Turn off the heat, garnish the curry with the reserved cream and fresh coriander leaves.Serve Cauliflower Paneer Kofta Curry  with Phulkas, Dal Tadka and Chana Dal Pulao along with a Urad Dal Raita for a comforting, yet special homely meal.","1 tablespoon Red Chilli powder,1 tablespoon Butter - or oil,1/2 cup Paneer (Homemade Cottage Cheese) - grated,1 tablespoon Coriander Powder (Dhania),1 tablespoon Fresh cream - reserve 2 teaspoons for garnish,3 tablespoons Corn flour,1 1/2 tablespoon Kashmiri Red Chilli Powder,1 teaspoon Garam masala powder,Salt - to taste,4 Tomatoes - pureed,1 teaspoon Cumin powder (Jeera) - roasted,Water - as required,2 Onions - finely chopped,1 teaspoon Ajwain (Carom seeds),1 Cauliflower (gobi),Coriander (Dhania) Leaves - as required for garnish,4 Potatoes (Aloo) - cooked and mashed","tomato,salt,cumin powder (jeera),corn flour,kashmiri red chilli powder,coriander (dhania) leaves,paneer,cauliflower (gobi),ajwain (carom seeds),red chilli powder,water,reserve,onion,butter oil,coriander powder,potato (aloo),garam masala powder",641.1,2.62,1.04,69.62,0.83,1,93.65,12.26,0.4,53.98,89.51,cauliflower kofta curry,Cauliflower kofta curry (Phoolgobhi kofta curry),112.62,100,95,2,0,0.75
Baked Vegetable Seekh Kebab Recipe,Vegetable seekh kebab,50,Indian,"To begin making the Baked Vegetable Seekh Kebab Recipe, firstly we will preheat the oven at 180 degrees for 10 minutes.
Grease a baking tray with oil.Heat oil in a non-stick pan.
Add cumin seeds and saute until fragrant.Add green chillies and saute for a minute.
Add carrot and saute for one 2-3 minutes.Add french beans, cabbage and green peas and saute for 2-3 minutes.
Add turmeric powder, mix well and cook till it combines.Transfer this mixture into a mixture into a mixer jar and grind coarsely.
Set aside.Add gram flour in the same pan and sauté until fragrant.
Add cashew nut powder and sauté.Reduce heat, add ground vegetables, mix well and saute for 2-3 minutes till the raw smell disappears.
Transfer this mixture into a bowl.Add breadcrumbs, salt, crushed peppercorns and cardamom powder.
Add garam masala powder, potato and mix well.Divide this mixture into large equal portions and wrap them around in the shape of satay sticks tightly to get a seekh kabab.Place the sticks on the greased baking tray and put the tray in preheated oven.Cook the recipe for 10-12 minutes, turning twice to the other side every 4-5 minutes.Vegetable Seekh Kebab can be served as a starter along with Green Chutney, Pickled Onions and lemon.
This serves as a great party starter or as the appetiser for a full-fledged weekend meal.
","1 Carrot (Gajjar) - finely chopped,1-1/2 inch Ginger - finely chopped,Salt - to taste,Lemon wedges - for garnish,Onion - chopped for garnish,2 tablespoons Cashew nuts - powdered,1/2 tablespoon Whole Black Peppercorns - crushed,1/2 tablespoon Cumin seeds (Jeera),3 tablespoon Whole Wheat Bread crumbs,1-1/2 tablespoon Gram flour (besan),1/4 tablespoon Cardamom (Elaichi) Pods/Seeds - powdered,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Sunflower Oil,1/4 cup Cabbage (Patta Gobi/ Muttaikose) - finely chopped,1/4 cup Green peas (Matar),2 Potatoes (Aloo) - boiled,6-8 Green beans (French Beans) - finely sliced,3 Green Chillies - finely chopped","cashew nuts,salt,green beans (french beans),ginger,cardamom (elaichi) podsseeds,green peas (matar),black peppercorns,carrot,gram flour (besan),onion,cumin seeds (jeera),wheat bread crumbs,lemon,potato (aloo),turmeric powder,green chillies,cabbage (patta gobi muttaikose),sunflower oil",690.73,5.32,1.57,73.72,0.74,0.59,83.67,32.66,0.36,6.86,13.84,vegetable seekh kebab,Vegetable seekh kebab,112.62,100,95,2,0,0.75
Homemade Vegetable Stock Recipe,Vegetable stock,30,Continental,"To begin making the homemade vegetable stock first heat olive oil in a large sauce pan over medium heat.
Add carrots, onions, mushrooms, celery root and garlic all together and saute them till they are coated in the oil.
Sauté the vegetables, stirring occasionally, until golden brown for about 10 minutes.Add in the bay leaves, the herbs and the prunes.
Add in the crushed peppercorns and enough water to cover everything (about 10 cups).Bring the mixture to a gentle boil.
As soon as the boil begins, drop heat to very low and simmer for about half hour.
Do not stir while the mixture is simmering.
Allow the vegetables to be intact and not break down in the simmering process.
This will give you a clean cloud free stock.Once simmered, strain the Vegetable Stock into a large bowl.
Allow the stock to cool and use as required.
The Homemade Vegetable Stock can be stored in the refrigerator for about a week.
","1 tablespoon Extra Virgin Olive Oil,1 cup Button mushrooms - quatered,2 Stalks Spring Onion (Bulb & Greens) - roughly chopped,3 Bay leaves (tej patta),10 cups Water,3 Carrots (Gajjar) - peeled and cut into sticks,1 Stalk Celery - peeled and chopped in big chunks,2 sprig Parsley leaves,1 tablespoon Raisins,1 Onion - roughly chopped,1 tablespoon Whole Black Peppercorns - pounded,3 - 4 cloves Garlic - peeled","button mushrooms,stalks spring onion (bulb greens),carrot sticks,bay leaves (tej patta),raisins,virgin olive oil,cloves garlic,parsley leaves,black peppercorns,water,onion,stalk celery",17.6,0.96,0.3,1.38,0.44,0.38,49.75,5.08,0.12,7.58,13.92,vegetable stock,Vegetable stock,112,100,100,1,0,1
Instant Garlic Pickle Recipe,Garlic pickle (Lahasun ka achar),30,Indian,"To begin the preparation of Instant Garlic Pickle, first peel the skin of garlic and cut into slices/ coarsely pound them.Heat sesame oil in a deep pan, add mustard seeds & allow spluttering.Add garlic pieces, chilli powder, turmeric powder and fry till golden brown.Add fenugreek powder, salt, curry leaves and mix well.Once cooled, serve the Garlic Pickle fresh with curd rice or keep it keep it in a dry, airtight container.
","Salt - to taste,1/4 teaspoon Methi Powder (Fenugreek Powder),20 Curry leaves,1 teaspoon Red Chilli powder,2 Garlic - (whole garlic pods),1/4 teaspoon Turmeric powder (Haldi),5 tablespoons Sesame (Gingelly) Oil","salt,methi powder (fenugreek powder),red chilli powder,sesame (gingelly) oil,garlic (whole garlic pods),curry leaves,turmeric powder",413.62,9.75,3.72,39.88,2.32,5.13,269.12,54.66,1.82,7.33,15.98,garlic pickle,Garlic pickle (Lahasun ka achar),112,100,100,1,0,1
Chicken Manchurian Recipe,Chicken manchurian,65,Indo Chinese,"To begin making Chicken Manchurian Recipe, in a mixing bowl, break an egg, add cornflour, soy sauce, pinch of salt and mix the ingredients well.Add the chicken pieces and mix until all the pieces are coated with the marinade mixture.Marinate the chicken pieces for the manchurian in the egg mixture and set aside for 1 hour.
Heat a skillet, heat 1 tablespoon of oil on a medium heat.Once the oil is hot, reduce the heat to medium and add marinated chicken pieces and fry them till they turn golden brown.
Once the chicken is cooked, skim the the chicken to drain excess over and place them over a paper napkin.
 In a mixing bowl add corn flour, soy sauce, red chilli garlic sauce, tomato puree, chilli vinegar and water- mix well until they are all well combined.
The sauce for the Chicken Manchurian gravy is ready.
Now, heat a wok with 1 tablepoon of oil.
Once the oil is hot, add garlic and ginger and saute till they become soft.Add in chopped spring onions and saute for few seconds.
Add onions and green bell peppers and saute till onions turn translucent.
Add green chillies and saute till they are a bit tender and they impart the pungency into the dish.
Add in the mixed Chicken Manchurian Sauce mixture into the wok and cook until the manchurian gravy thickens.Now add the chicken pieces and toss the chicken pieces well till they are well coated by the manchurian gravy.
Cook further for 5-7 minutes in low heat, stirring in between to help keep the upper layer moist.
Check for salt and seasoning.
Adjust if required.Turn off the heat, and garnish with chopped spring onions and serve hot.
Serve Chicken Manchurian Recipe along with Hakka Noodles (Chinese Chow mein Recipe) or a Chinese Vegetable Fried Rice.
","1 tablespoon Soy sauce,3 tablespoons Red Chilli sauce,1 Whole Egg,1 teaspoon Soy sauce,1 teaspoon Chilli vinegar,2 inch Ginger - finely grated,300 grams Chicken - chopped to bite size pieces,1 cup Water,1 Green Bell Pepper (Capsicum) - thinly sliced,2 Green Chillies - finely chopped,2 tablespoons Corn flour,1 tablespoon Corn flour,1 pinch Salt,1/2 cup Spring Onion Greens - chopped,2 tablespoons Sunflower Oil,8 cloves Garlic - finely chopped,1 Onion - thinly sliced,1/4 cup Homemade tomato puree","tomato,salt,spring onion greens,corn flour,ginger,eggs,soy sauce,water,chilli vinegar,cloves garlic,onion,chicken,green bell pepper (capsicum),red chilli sauce,green chillies,sunflower oil",142.34,6.06,9.53,11.96,0.9,0.41,2414.77,26.52,1.28,10.37,45.99,chicken manchurian,Chicken manchurian,112,100,100,1,0,1
Pumpkin Halwa (Kaddu Ka Halwa) Recipe,Pumpkin halwa (Kaddu ka halwa),55,Indian,"To begin with Pumpkin Halwa, heat 2 tablespoons ghee in a kadhai.When ghee gets heated, add the raisins.
After the raisins puff, remove them from the kadhai and keep them on a separate plate.In the same kadhai, add the other chopped dry fruits and roast them.
Keep them in the same plate where the raisins are kept.Now add 3 more tablespoons ghee to the same kadhai.
Add the grated pumpkin and fry it on low flame till the raw smell goes away.Now add milk and let the pumpkin get cooked for some time.
Add khoya and mix everything well.Keep stirring in between to avoid it sticking to the bottom of the kadhai.
After some time, the halwa will start thickening.
Add sugar and mix well.Keep stirring continuously when the halwa starts to thicken, add the dry fruits.Crush the cardamom pods with a mortar and pestle, discard the peels.Sprinkle the cardamom powder on the halwa and mix well.
When the halwa starts leaving the sides of the kadhai, it is done and ready to be served.Serve Pumpkin Halwa as a dessert to your friends and family during Holi lunch or dinner.
","20 Raisins,2 tablespoon Khoya (Mawa),1-1/4 cup Sugar,5 Cardamom (Elaichi) Pods/Seeds,1/2 cup Milk,5 tablespoon Ghee,10 Cashew nuts - chopped,10 Badam (Almond) - chopped,3 cups Kaddu (Parangikai/ Pumpkin) - red one","cashew nuts,khoya (mawa),ghee,cardamom (elaichi) podsseeds,milk,parangikai pumpkin red,raisins,sugar,badam (almond)",190.27,27.6,1.33,8.81,26.64,2.97,8.09,24.34,0.63,8.08,27.9,pumpkin halwa,Pumpkin halwa (Kaddu ka halwa),112,100,100,1,0,1
Pumpkin Raita Recipe,Pumpkin raita (Kaddu ka raita),30,Indian,"To begin making the Pumpkin Raita Recipe, we will cook the grated pumpkin in a pan.Heat a teaspoon of oil in a pan on medium flame,  add the grated pumpkin, sprinkle some salt to taste and stir fry until the pumpkin wilts down.
Cover the pan and cook for 3 to 4 minutes and your pumpkin will be cooked.Pumpkin also releases water when cooked, so there is not need to add water to cook the pumpkin.
Once the pumpkin is cooked, transfer to a serving bowl and allow it to cool.In the meanwhile, whisk the yogurt in another bowl along with some salt, red chili powder, roasted cumin powder and coriander.
Finally stir in the cooked pumpkin into the yogurt mixture.Adjust the salt and spice levels and adjust to suit your taste.Serve Pumpkin Raita along with Ajwaini Tamatar Bhindi and Phulka for a weekday lunch or dinner.
Finish the meal with Gulab Jamun Trifle Recipe as dessert.
","1/2 teaspoon Cumin powder (Jeera),1 Coriander (Dhania) Leaves - small bunch,400 ml Curd (Dahi / Yogurt),Salt - to taste,200 grams Kaddu (Parangikai/ Pumpkin) - peeled and grated,1/2 teaspoon Red Chilli powder","coriander (dhania),cumin powder (jeera),salt,parangikai pumpkin,red chilli powder,curd",55.6,6.02,3.74,1.88,5.48,1.04,129.14,130.11,0.33,7.11,31.7,pumpkin raita,Pumpkin raita (Kaddu ka raita),112,100,100,1,0,1
Instant Mixed Vegetable Pickle Recipe,Mixed vegetable pickle (Sabziyoon ka achaar),40,Indian,"To begin making the Instant Mixed Vegetable Pickle recipe, clean and dry all the vegetables on a kitchen towel.Chop them finely and tip them into a mixing bowl and add the juice of one lemon and a teaspoon of salt and mixed through the vegetables.In a small mixing jar, add the ingredients for the marinating paste and grind to a smooth paste in a grinder without adding any water.Mix this paste through the vegetables and let it sit for at least 2 hours before serving.It stays fresh for a week to a fortnight and needs to be kept in the fridge at all times.Serve Instant Mixed Vegetable Pickle with curd rice for a comforting week day meal.","20 Green Chillies,2 tablespoons Poppy seeds,3 Mango (Raw) - diced into 1/2 centimetre cubes,3 Lemons - juiced,Salt - to taste,3 inch Ginger - finely chopped,20 cloves Garlic,100 grams Carrot (Gajjar) - diced into 1/2 centimetre cubes,3 inch Ginger,1 tablespoon Whole Black Peppercorns,Coriander (Dhania) Leaves - small bunch,Mint Leaves (Pudina) - small bunch,1/4 teaspoon Asafoetida (hing),1 teaspoon Turmeric powder (Haldi),50 grams Cashew nuts,100 grams Green beans (French Beans) - chopped similarly","cashew nuts,coriander (dhania),salt,ginger,asafoetida (hing),carrot centimetre cubes,cloves garlic,black peppercorns,poppy seeds,lemon,green beans (french beans) similarly,mint leaves (pudina),mango centimetre cubes,turmeric powder,green chillies",211.2,7.48,1.9,19.68,2.77,2.76,2488.32,42.81,2.12,,,mixed vegetable pickle,Mixed vegetable pickle (Sabziyoon ka achaar),112,100,100,1,0,1
Creamed Spinach Recipe,Creamed spinach,25,Italian Recipes,"To begin making the Creamed Spinach first blanch the spinach leaves in boiling water till they just wilt (about a minute).Drain in a colander and rinse with cold water.Squeeze out the water and roughly chop the spinach.In a pan heat the butter.
Add garlic and onions and sauté till the onions just soften.Sprinkle some salt and pepper.
Add the flour, stir and cook for a minute.Gradually whisk in the milk.
Cook stirring till it thickens.Add the mustard powder and cheese or cream cheese and mix.Stir in the spinach, nutmeg and cook for a few seconds.
Serve hot.Serve Creamed Spinach Recipe as a dip along with Garlic Bread or as a side dish along with your Italian Meal.","2 tablespoons All Purpose Flour (Maida),Salt - to taste,3 tablespoons Cheddar cheese - or cream cheese (optional),1 teaspoon Whole Black Peppercorns - crushed,5 sprig Spinach Leaves (Palak) - washed,1 Onion - finely chopped,1 teaspoon Mustard powder,2 cups Milk - (or use half milk and half cream),4 Garlic - minced,1/4 teaspoon Nutmeg - grated,2 tablespoons Butter","cheese,salt,nutmeg,),spinach leaves (palak),mustard powder,black peppercorns,garlic,onion,milk (or milk,cheddar cheese,flour (maida),butter",96.91,4.44,5.18,6.39,1.59,1.33,156.02,122.3,1.89,62.17,320.46,creamed spinach,Creamed spinach,112,100,100,1,0,1
 Onion Raita Recipe,Onion raita (Pyaaz ka raita),10,Indian,"To make onion raita recipe, first cut the onion thin and straight.
Finely chop green chili, mint and coriander.
Now add yogurt, salt, cumin powder to a mixing bowl and mix well.
Now add water, onion, green chillies, mint, coriander and mix well as per the experiment.
Serve.
Serve Onion Raita Recipe with Ambur Star Chicken Biryani or Chettinad Mint Potato Biryani and Chilli Salon."," 2 sprig green coriander - finely chopped, 2 sprig mint - finely chopped, 1/4 cup water,1/2 cup yogurt, 1 onion - cut thin and straight, salt - as per taste 1/2 teaspoon cumin powder, 1 green chilli - finely chopped","green chilli,yogurt,water,mint,onion,salt cumin powder,coriander (dhania) leaves",71.56,7.86,4.86,2.43,7.07,0.65,189.96,163.8,0.3,8.44,32.13,onion raita,Onion raita (Pyaaz ka raita),112,100,100,1,0,1
